country_code,region
AD,EMEA
AE,EMEA
AG,
AI,
AL,EMEA
AM,APAC
AO,EMEA
AR,LATAM
AS,APAC
AT,EMEA
AU,APAC
AW,North America
AX,EMEA
AZ,EMEA
BA,EMEA
BB,North America
BD,APAC
BE,EMEA
BF,EMEA
BG,EMEA
BH,APAC
BJ,EMEA
BM,North America
BN,APAC
BO,LATAM
BQ,
BR,LATAM
BS,
BT,APAC
BW,EMEA
BY,EMEA
BZ,North America
CA,North America
CD,EMEA
CH,EMEA
CI,EMEA
CK,APAC
CL,LATAM
CM,EMEA
CN,APAC
CO,LATAM
CR,LATAM
CU,LATAM
CV,EMEA
CW,
CY,EMEA
CZ,EMEA
DE,EMEA
DK,EMEA
DO,LATAM
DZ,EMEA
EC,LATAM
EE,EMEA
EG,EMEA
ES,EMEA
ET,EMEA
FI,EMEA
FJ,APAC
FO,EMEA
FR,EMEA
GB,EMEA
GD,
GE,EMEA
GF,LATAM
GG,EMEA
GH,EMEA
GI,EMEA
GL,
GN,EMEA
GP,
GR,EMEA
GT,LATAM
GU,APAC
GY,LATAM
HK,APAC
HN,LATAM
HR,EMEA
HT,LATAM
HU,EMEA
ID,APAC
IE,
IL,EMEA
IM,EMEA
IN,APAC
IQ,EMEA
IR,APAC
IS,EMEA
IT,EMEA
JE,EMEA
JM,
JO,EMEA
JP,APAC
KE,EMEA
KG,APAC
KH,APAC
KN,
KR,APAC
KW,EMEA
KY,
KZ,EMEA
LA,APAC
LB,
LC,
LI,EMEA
LK,APAC
LT,EMEA
LU,EMEA
LV,EMEA
MA,EMEA
MC,EMEA
MD,EMEA
ME,EMEA
MG,EMEA
MH,X.x
MK,EMEA
ML,EMEA
MM,APAC
MN,APAC
MO,APAC
MP,APAC
MQ,
MR,EMEA
MT,EMEA
MU,EMEA
MV,APAC
MW,EMEA
MX,LATAM
MY,APAC
MZ,EMEA
,EMEA
NC,APAC
NG,EMEA
NI,LATAM
NL,EMEA
NO,EMEA
NP,APAC
NZ,APAC
OM,EMEA
PA,LATAM
PE,LATAM
PF,APAC
PG,X.x
PH,APAC
PK,APAC
PL,EMEA
PR,
PS,EMEA
PT,EMEA
PY,LATAM
QA,EMEA
RE,EMEA
RO,EMEA
RS,EMEA
RU,APAC
RW,EMEA
SA,EMEA
SC,EMEA
SD,EMEA
SE,EMEA
SG,APAC
SI,EMEA
SK,EMEA
SL,EMEA
SN,EMEA
SO,EMEA
SV,LATAM
SX,
TC,
TG,EMEA
TH,APAC
TJ,APAC
TL,APAC
TN,EMEA
TR,EMEA
TT,
TW,APAC
TZ,EMEA
UA,EMEA
UG,EMEA
US,
UY,LATAM
UZ,APAC
VC,
VE,LATAM
VG,
VI,
VN,APAC
VU,APAC
YE,EMEA
ZA,EMEA
ZM,EMEA
ZW,EMEA
