country_code,region
AD,EMEA
AE,EMEA
AG,NAMER
AI,NAMER
AL,EMEA
AM,APAC
AO,EMEA
AR,LATAM
AS,APAC
AT,EMEA
AU,APAC
AW,NAMER
AX,EMEA
AZ,EMEA
BA,EMEA
BB,NAMER
BD,APAC
BE,EMEA
BF,EMEA
BG,EMEA
BH,APAC
BJ,EMEA
BM,NAMER
BN,APAC
BO,LATAM
BQ,NAMER
BR,LATAM
BS,NAMER
BT,APAC
BW,EMEA
BY,EMEA
BZ,NAMER
CA,NAMER
CD,EMEA
CH,EMEA
CI,EMEA
CK,APAC
CL,LATAM
CM,EMEA
CN,APAC
CO,LATAM
CR,LATAM
CU,LATAM
CV,EMEA
CW,NAMER
CY,EMEA
CZ,EMEA
DE,EMEA
DK,EMEA
DO,LATAM
DZ,EMEA
EC,LATAM
EE,EMEA
EG,EMEA
ES,EMEA
ET,EMEA
FI,EMEA
FJ,APAC
FO,EMEA
FR,EMEA
GB,EMEA
GD,NAMER
GE,EMEA
GF,LATAM
GG,EMEA
GH,EMEA
GI,EMEA
GL,NAMER
GN,EMEA
GP,NAMER
GR,EMEA
GT,LATAM
GU,APAC
GY,LATAM
HK,APAC
HN,LATAM
HR,EMEA
HT,LATAM
HU,EMEA
ID,APAC
IE,EMEA
IL,EMEA
IM,EMEA
IN,APAC
IQ,EMEA
IR,APAC
IS,EMEA
IT,EMEA
JE,EMEA
JM,NAMER
JO,EMEA
JP,APAC
KE,EMEA
KG,APAC
KH,APAC
KN,NAMER
KR,APAC
KW,EMEA
KY,NAMER
KZ,EMEA
LA,APAC
LB,EMEA
LC,NAMER
LI,EMEA
LK,APAC
LT,EMEA
LU,EMEA
LV,EMEA
MA,EMEA
MC,EMEA
MD,EMEA
ME,EMEA
MG,EMEA
MH,APAC
MK,EMEA
ML,EMEA
MM,APAC
MN,APAC
MO,APAC
MP,APAC
MQ,NAMER
MR,EMEA
MT,EMEA
MU,EMEA
MV,APAC
MW,EMEA
MX,LATAM
MY,APAC
MZ,EMEA
NA,EMEA
NC,APAC
NG,EMEA
NI,LATAM
NL,EMEA
NO,EMEA
NP,APAC
NZ,APAC
OM,EMEA
PA,LATAM
PE,LATAM
PF,APAC
PG,APAC
PH,APAC
PK,APAC
PL,EMEA
PR,NAMER
PS,EMEA
PT,EMEA
PY,LATAM
QA,EMEA
RE,EMEA
RO,EMEA
RS,EMEA
RU,APAC
RW,EMEA
SA,EMEA
SC,EMEA
SD,EMEA
SE,EMEA
SG,APAC
SI,EMEA
SK,EMEA
SL,EMEA
SN,EMEA
SO,EMEA
SV,LATAM
SX,NAMER
TC,NAMER
TG,EMEA
TH,APAC
TJ,APAC
TL,APAC
TN,EMEA
TR,EMEA
TT,NAMER
TW,APAC
TZ,EMEA
UA,EMEA
UG,EMEA
US,NAMER
UY,LATAM
UZ,APAC
VC,NAMER
VE,LATAM
VG,NAMER
VI,NAMER
VN,APAC
VU,APAC
YE,EMEA
ZA,EMEA
ZM,EMEA
ZW,EMEA
